Finished,User Language,"If the UU offered an optional physical student card, would you request it?",Why? - Selected Choice,Why? - Another reason: - Text,"If you could request a physical student card but would have to contribute towards the cost of printing it, would you?",How much would you be willing to pay?,"Do you have any comments, suggestions, or questions regarding the digital-only student card policy of the UU? (optional)"
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,Another reason:","When I have been in foreign countries, I sometimes don’t have 4G and then it doesn’t work. Even if it does work, I have often had it that the person looking at the app either does not understand what is going on or does not speak English or Dutch. I am then unable to use it, or, for instance, have gotten fined on public transport for having a student ticket when I am unable to prove that I am one.",Yes,Between 10 and 15 EUR,
True,EN,Yes,"I want to spend less time on my phone,I think the university should be less dependent on digital infrastructure,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,"I understand that the university does not give out physical cards to all students, however I think that there should be an option for students to get some form of a physical student ID "
True,EN,Yes,"All of the above,Another reason:",I have made a deliberate choice not to have a smartphone anymore due to distractions. It is a hassel to get into the library without one. It would be nice to still be able to prove my identity without the use of a smartphone,Yes,Less than 5 EUR,
True,EN,Yes,"I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,Another reason:","I don't have any mobile phone, just a landline",Maybe,Less than 5 EUR,It's very weird.
True,EN,Yes,"I want to spend less time on my phone,I think the university should be less dependent on digital infrastructure,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"All of the above,Another reason:","I don't have a smartphone, so I have to use a printout of my declaration of enrollment. This does not get accepted all of the time.",Yes,Between 5 and 10 EUR,
False,EN,No,,,No,,
False,EN,Yes,I think a physical card would be a nice memento of my time at university,,Maybe,,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Less than 5 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 10 and 15 EUR,
True,EN,Yes,"I want to spend less time on my phone,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,Another reason:","I don't have a smartphone so I have to carry a printed version of my enrollment in my pocket which breaks down over time due to moist and the scrubbing of clothing. Oh and by the way, if you want to print it you have to make a screenshot of the enrollment in Osiris which you have to put in a new document, for you do not have the rights to print it straight away.",Yes,Between 5 and 10 EUR,It is unfair to people without a smartphone
False,EN,Yes,"I think the university should be less dependent on digital infrastructure,Another reason:","By the way, this dependence on digital infrastructure does unfortunately not only apply to the university. On the one hand there are concerns that, children and students spend too much time on their smartphones, on the other hand society, and UU being a frontrunner, implements more and more dependencies on technology. ",Maybe,Less than 5 EUR,"Like I said, the UU should be more careful with enforcing digital dependencies and use of smartphones in specific. On the one hand UU warns against the risks of smarthpone use, on the other hand it enforces students to always have a smartphone with them. Who benefits? It is mainly in the interest of the UU (for example, efficiency, financial costs) and they use, as always, the argument of safety. And hey, who is against safety?"
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I would like to be able to access buildings and prove my student status without needing access to 4G,Another reason:","Especially when travelling abroad, lots of things like museums require student cards for discounts. This often at remote places where internet is hard to come by.

Also, I wouldnt find it nearly as annoying if you didnt need to log in and 2fa each time you wanted to show your card. Even in the queue for Artis lately, I had to show my student card. Oh one second let me just enter my number and password and 2fa and code and whatever, all just to show my card.",Yes,Less than 5 EUR,"If it is digital, at least let it work without internet and 2fa. Maybe even separate the card from the grades and stuff in the myuu app so you need to log in for the grades, but the card always works."
